Video-Streaming;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-J-1;"Basic set";40;350;50000;18;18;Reference;;;;;"https://www.mvg.de/ click on ""Verbindungen"" ? manual input [Start]: ""Marienplatz"" ? manual input [Ziel]: ""Georg-Brauchle-Ring"" ? click on first proposed connection.";Throughput
WB-J-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-J-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-J-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-J-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-J-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-J-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-J-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-J-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-J-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"App Package ID";Link;Assessment
AL-A-1;"Basic set";40;350;50000;18;18;Reference;;;"Starten der Spiegel-App
Excerpt from 00:00 (min:sec) to 00:20 (min:sec).
Resolution: Auto";app://com.zdf.android.mediathek/.ui.common.MainActivity;Throughput
AL-A-2;"Basic set";40;350;20000;18;18;Assessment;;;;
AL-A-3;"Basic set";40;350;10000;18;18;Assessment;;;;
AL-A-4;"Basic set";85;300;5000;18;18;Assessment;;;;
